LPSD pixel # (0-127)	LPSD pitch (mm)	Tube # (1-8)	Tube  pitch	Xoffset	Yoffset	Zoffset	Module #	Pixel ID		IDX	RADIUS	AZIMUTH	POLAR	ZROT	YROT	XROT		XTRN	YTRN	ZTRN		Location		ARCS Module No.			cz	sz	cy	sy	cx	sx	R11	R12	R13	R21	R22	R23	R31	R32	R33	Xoffset	Yoffset	Zoffset	Location	X_pixel	Y_pixel	Z_pixel				Xsci	Ysci	Zsci	Radius	Phi_sci	2Theta_sci	Zrot_sci	Yrot_sci	Xrot_sci
0	7.86	1	27.4	-95.9	499.11	0	103	104448		26	3301.086	26.722	71.520	-63.278	0.000	90.000		2796.483	1407.830	1046.357		T26		103			0.450	-0.893	1.000	0.000	0.000	1.000	0.450	0.000	-0.893	-0.893	0.000	-0.450	0.000	1.000	0.000	2753.360817	1493.48804	1545.467145	T26	1493.48804	1495.467145	2753.360817				1493.488	1495.467	2753.361	3471.011999	45.038	37.510	0.000	-153.278	0.000
0	7.86	1	27.4	-95.9	499.11	0	104	105472		27	3301.086	22.698	71.520	-67.302	0.000	90.000		2888.383	1208.118	1046.357		T27		104			0.386	-0.923	1.000	0.000	0.000	1.000	0.386	0.000	-0.923	-0.923	0.000	-0.386	0.000	1.000	0.000	2851.377593	1296.590968	1545.467145	T27	1296.590968	1495.467145	2851.377593				1296.591	1495.467	2851.378	3471.011999	49.074	34.766	0.000	-157.302	0.000
0	7.86	1	27.4	-95.9	499.11	0	105	106496		28	3301.086	16.096	71.520	-73.904	0.000	90.000		3008.129	868.024	1046.357		T28		105			0.277	-0.961	1.000	0.000	0.000	1.000	0.277	0.000	-0.961	-0.961	0.000	-0.277	0.000	1.000	0.000	2981.540834	960.1648652	1545.467145	T28	960.1648652	1495.467145	2981.540834				960.165	1495.467	2981.541	3471.011999	57.298	30.797	0.000	-163.904	0.000
0	7.86	1	27.4	-95.9	499.11	0	106	107520		29	3301.086	12.072	71.520	-77.928	0.000	90.000		3061.626	654.791	1046.357		T29		106			0.209	-0.978	1.000	0.000	0.000	1.000	0.209	0.000	-0.978	-0.978	0.000	-0.209	0.000	1.000	0.000	3041.569493	748.5701929	1545.467145	T29	748.5701929	1495.467145	3041.569493				748.570	1495.467	3041.569	3471.011999	63.409	28.803	0.000	-167.928	0.000
0	7.86	1	27.4	-95.9	499.11	0	107	108544		30	3301.086	8.048	71.520	-81.952	0.000	90.000		3100.028	438.329	1046.357		T30		107			0.140	-0.990	1.000	0.000	0.000	1.000	0.140	0.000	-0.990	-0.990	0.000	-0.140	0.000	1.000	0.000	3086.601652	533.2846853	1545.467145	T30	533.2846853	1495.467145	3086.601652				533.285	1495.467	3086.602	3471.011999	70.374	27.221	0.000	-171.952	0.000
0	7.86	1	27.4	-95.9	499.11	0	108	109568		31	3301.086	4.024	71.520	-85.976	0.000	90.000		3123.145	219.706	1046.357		T31		108			0.070	-0.998	1.000	0.000	0.000	1.000	0.070	0.000	-0.998	-0.998	0.000	-0.070	0.000	1.000	0.000	3116.41528	315.3698102	1545.467145	T31	315.3698102	1495.467145	3116.41528				315.370	1495.467	3116.415	3471.011999	78.092	26.124	0.000	-175.976	0.000
0	7.86	1	27.4	-95.9	499.11	0	109	110592		32	3301.086	0.000	71.520	-90.000	0.000	90.000		3130.863	0.000	1046.357		T32		109			0.000	-1.000	1.000	0.000	0.000	1.000	0.000	0.000	-1.000	-1.000	0.000	0.000	0.000	1.000	0.000	3130.86338	95.9	1545.467145	T32	95.9	1495.467145	3130.86338				95.900	1495.467	3130.863	3471.011999	86.331	25.577	0.000	-180.000	0.000
0	7.86	1	27.4	-95.9	499.11	0	110	111616		33	3301.086	-4.024	71.520	-94.024	0.000	90.000		3123.145	-219.706	1046.357		T33		110			-0.070	-0.998	1.000	0.000	0.000	1.000	-0.070	0.000	-0.998	-0.998	0.000	0.070	0.000	1.000	0.000	3129.874716	-124.0426464	1545.467145	T33	-124.0426464	1495.467145	3129.874716				-124.043	1495.467	3129.875	3471.011999	94.742	25.615	0.000	-184.024	0.000
0	7.86	1	27.4	-95.9	499.11	0	111	112640		34	3301.086	-8.048	71.520	-98.048	0.000	90.000		3100.028	-438.329	1046.357		T34		111			-0.140	-0.990	1.000	0.000	0.000	1.000	-0.140	0.000	-0.990	-0.990	0.000	0.140	0.000	1.000	0.000	3113.454162	-343.3736989	1545.467145	T34	-343.3736989	1495.467145	3113.454162				-343.374	1495.467	3113.454	3471.011999	102.932	26.235	0.000	-188.048	0.000
0	7.86	1	27.4	-95.9	499.11	0	112	113664		35	3301.086	-13.888	71.520	-103.888	0.000	90.000		3039.338	-751.485	1046.357		T35		112			-0.240	-0.971	1.000	0.000	0.000	1.000	-0.240	0.000	-0.971	-0.971	0.000	0.240	0.000	1.000	0.000	3062.356513	-658.3881064	1545.467145	T35	-658.3881064	1495.467145	3062.356513				-658.388	1495.467	3062.357	3471.011999	113.762	28.083	0.000	-193.888	0.000
